timestamp,pv_power_w,pv_voltage_v,pv_current_a,battery_soc_pct,battery_voltage_v,battery_current_a,charging_state,controller_temp_c,battery_temp_c,load_power_w,daily_generated_wh,total_generated_kwh
2026-08-26T00:15:36Z,0,11.0,0.00,4,11.1,0.00,Deactivated,34,35,0,11,8374
2026-08-26T00:15:46Z,0,11.0,0.00,4,11.1,0.00,Deactivated,34,35,0,11,8374
2026-08-26T00:15:56Z,0,11.0,0.00,4,11.1,0.00,Deactivated,34,35,0,11,8374
2026-08-26T00:16:06Z,0,11.0,0.00,4,11.1,0.00,Deactivated,34,35,0,11,8374
2026-08-26T00:16:16Z,0,11.0,0.00,4,11.1,0.00,Deactivated,34,35,0,11,8374
2026-08-26T00:16:26Z,0,11.0,0.00,3,11.1,0.00,Deactivated,34,35,0,11,8374
2026-08-26T00:16:36Z,0,11.0,0.00,3,11.1,0.00,Deactivated,34,35,0,11,8374
2026-08-26T00:16:46Z,0,11.0,0.00,3,11.1,0.00,Deactivated,34,35,0,11,8374
2026-08-26T00:16:56Z,0,10.9,0.00,3,11.1,0.00,Deactivated,34,35,0,11,8374
2026-08-26T00:17:06Z,0,10.9,0.00,3,11.1,0.00,Deactivated,34,35,0,11,8374
2026-08-26T00:17:16Z,0,10.9,0.00,3,11.1,0.00,Deactivated,34,35,0,11,8374
2026-08-26T00:17:26Z,0,10.9,0.00,3,11.1,0.00,Deactivated,33,35,0,11,8374
2026-08-26T00:17:36Z,0,10.9,0.00,3,11.1,0.00,Deactivated,33,35,0,11,8374
2026-08-26T00:17:46Z,0,10.9,0.00,3,11.1,0.00,Deactivated,33,35,0,11,8374
2026-08-26T00:17:56Z,0,10.9,0.00,3,11.1,0.00,Deactivated,33,35,0,11,8374
2026-08-26T00:18:06Z,0,10.9,0.00,3,11.1,0.00,Deactivated,33,35,0,11,8374
2026-08-26T00:18:16Z,0,10.9,0.00,3,11.1,0.00,Deactivated,33,35,0,11,8374
2026-08-26T00:18:26Z,0,10.9,0.00,3,11.1,0.00,Deactivated,33,35,0,11,8374
2026-08-26T00:18:36Z,0,10.8,0.00,2,11.1,0.00,Deactivated,33,35,0,11,8374
2026-08-26T00:18:46Z,0,10.8,0.00,3,11.1,0.00,Deactivated,33,35,0,11,8374
2026-08-26T00:18:56Z,0,10.8,0.00,2,11.1,0.00,Deactivated,33,35,0,11,8374
2026-08-26T00:19:06Z,0,10.8,0.00,2,11.1,0.00,Deactivated,33,35,0,11,8374
2026-08-26T00:19:16Z,0,10.6,0.00,3,11.1,0.00,Deactivated,33,35,0,11,8374
2026-08-26T00:19:26Z,0,10.4,0.00,2,11.1,0.00,Deactivated,33,35,0,11,8374
2026-08-26T00:19:36Z,0,10.2,0.00,2,11.1,0.00,Deactivated,33,35,0,11,8374
2026-08-26T00:19:46Z,0,10.0,0.00,2,11.1,0.00,Deactivated,33,35,0,11,8374
2026-08-26T00:19:56Z,0,9.8,0.00,3,11.1,0.00,Deactivated,33,35,0,11,8374
2026-08-26T00:20:06Z,0,9.5,0.00,2,11.1,0.00,Deactivated,33,35,0,11,8374
2026-08-26T00:20:16Z,0,9.3,0.00,2,11.1,0.00,Deactivated,33,35,0,11,8374
2026-08-26T00:20:26Z,0,9.0,0.00,2,11.1,0.00,Deactivated,33,35,0,11,8374
2026-08-26T00:20:36Z,0,8.8,0.00,2,11.1,0.00,Deactivated,33,35,0,11,8374
2026-08-26T00:20:46Z,0,8.5,0.00,2,11.1,0.00,Deactivated,33,35,0,11,8374
2026-08-26T00:20:56Z,0,8.2,0.00,2,11.1,0.00,Deactivated,33,35,0,11,8374
2026-08-26T00:21:06Z,0,8.0,0.00,2,11.1,0.00,Deactivated,33,35,0,11,8374
2026-08-26T00:21:16Z,0,7.8,0.00,2,11.1,0.00,Deactivated,33,35,0,11,8374
2026-08-26T00:21:26Z,0,7.5,0.00,2,11.1,0.00,Deactivated,33,35,0,11,8374
2026-08-26T00:21:36Z,0,7.3,0.00,2,11.1,0.00,Deactivated,33,35,0,11,8374
2026-08-26T00:21:46Z,0,7.1,0.00,2,11.1,0.00,Deactivated,33,35,0,11,8374
2026-08-26T00:21:56Z,0,6.9,0.00,2,11.1,0.00,Deactivated,33,35,0,11,8374
2026-08-26T00:22:06Z,0,6.7,0.00,2,11.1,0.00,Deactivated,33,35,0,11,8374
2026-08-26T00:22:16Z,0,6.6,0.00,2,11.1,0.00,Deactivated,33,35,0,11,8374
2026-08-26T00:22:26Z,0,6.5,0.00,1,11.1,0.00,Deactivated,33,35,0,11,8374
2026-08-26T00:22:36Z,0,6.3,0.00,2,11.1,0.00,Deactivated,33,35,0,11,8374
2026-08-26T00:22:46Z,0,6.2,0.00,2,11.1,0.00,Deactivated,33,35,0,11,8374
2026-08-26T00:22:56Z,0,6.1,0.00,2,11.1,0.00,Deactivated,33,35,0,11,8374
2026-08-26T00:23:06Z,0,5.9,0.00,1,11.1,0.00,Deactivated,33,35,0,11,8374
2026-08-26T00:23:16Z,0,5.9,0.00,1,11.1,0.00,Deactivated,33,35,0,11,8374
2026-08-26T00:23:26Z,0,5.7,0.00,2,11.1,0.00,Deactivated,33,35,0,11,8374
2026-08-26T00:23:36Z,0,5.6,0.00,2,11.1,0.00,Deactivated,33,35,0,11,8374
2026-08-26T00:23:46Z,0,5.5,0.00,2,11.1,0.00,Deactivated,33,35,0,11,8374
2026-08-26T00:23:56Z,0,5.4,0.00,2,11.1,0.00,Deactivated,33,35,0,11,8374
2026-08-26T00:24:06Z,0,5.3,0.00,1,11.1,0.00,Deactivated,33,35,0,11,8374
2026-08-26T00:24:16Z,0,5.2,0.00,1,11.1,0.00,Deactivated,33,35,0,11,8374
2026-08-26T00:24:26Z,0,5.0,0.00,2,11.1,0.00,Deactivated,33,35,0,11,8374
2026-08-26T00:24:36Z,0,5.0,0.00,1,11.1,0.00,Deactivated,33,35,0,11,8374
2026-08-26T00:24:46Z,0,4.8,0.00,1,11.1,0.00,Deactivated,33,35,0,11,8374
2026-08-26T00:24:56Z,0,4.7,0.00,1,11.1,0.00,Deactivated,33,35,0,11,8374
2026-08-26T00:25:06Z,0,4.6,0.00,1,11.1,0.00,Deactivated,33,35,0,11,8374
2026-08-26T00:25:16Z,0,4.5,0.00,2,11.1,0.00,Deactivated,33,35,0,11,8374
2026-08-26T00:25:26Z,0,4.4,0.00,1,11.1,0.00,Deactivated,33,35,0,11,8374
2026-08-26T00:25:36Z,0,4.3,0.00,1,11.1,0.00,Deactivated,33,35,0,11,8374
2026-08-26T00:25:46Z,0,4.3,0.00,0,11.1,0.00,Deactivated,33,36,0,11,8374
2026-08-26T00:25:56Z,0,4.2,0.00,1,11.1,0.00,Deactivated,33,35,0,11,8374
2026-08-26T00:26:06Z,0,4.1,0.00,1,11.1,0.00,Deactivated,33,35,0,11,8374
2026-08-26T00:26:16Z,0,4.0,0.00,0,11.1,0.00,Deactivated,33,35,0,11,8374
2026-08-26T00:26:26Z,0,3.9,0.00,1,11.1,0.00,Deactivated,33,35,0,11,8374
2026-08-26T00:26:36Z,0,3.8,0.00,1,11.1,0.00,Deactivated,33,35,0,11,8374
2026-08-26T00:26:46Z,0,3.7,0.00,0,11.1,0.00,Deactivated,33,35,0,11,8374
2026-08-26T00:26:56Z,0,3.7,0.00,1,11.1,0.00,Deactivated,33,35,0,11,8374
2026-08-26T00:27:06Z,0,3.6,0.00,0,11.1,0.00,Deactivated,33,35,0,11,8374
2026-08-26T00:27:16Z,0,3.5,0.00,0,11.1,0.00,Deactivated,33,35,0,11,8374
2026-08-26T00:27:26Z,0,3.4,0.00,1,11.1,0.00,Deactivated,33,35,0,11,8374
2026-08-26T00:27:36Z,0,3.3,0.00,0,11.1,0.00,Deactivated,33,35,0,11,8374
2026-08-26T00:27:46Z,0,3.3,0.00,0,11.0,0.00,Deactivated,33,35,0,11,8374
2026-08-26T00:27:56Z,0,3.2,0.00,0,11.1,0.00,Deactivated,33,35,0,11,8374
