timestamp,pv_power_w,pv_voltage_v,pv_current_a,battery_soc_pct,battery_voltage_v,battery_current_a,controller_temp_c,battery_temp_c,load_power_w,load_voltage_v,load_current_a,temperature_c,cloud_cover_pct,direct_radiation_w_m2,diffuse_radiation_w_m2,sun_condition,charge_state,fault_text
2026-08-24T04:00:00Z,0,0.2,0.00,62,13.2,-1.36,18,20,18,13.2,1.36,18.4,10,0.0,0.0,NIGHT,DEACTIVATED,NONE
2026-08-24T04:01:00Z,0,0.2,0.00,62,13.2,-1.36,18,20,18,13.2,1.36,18.4,10,0.0,0.0,NIGHT,DEACTIVATED,NONE
2026-08-24T04:02:00Z,0,0.2,0.00,62,13.2,-1.36,18,20,18,13.2,1.36,18.4,10,0.0,0.0,NIGHT,DEACTIVATED,NONE
2026-08-24T04:03:00Z,0,0.2,0.00,62,13.2,-1.36,18,20,18,13.2,1.36,18.4,10,0.0,0.0,NIGHT,DEACTIVATED,NONE
2026-08-24T04:04:00Z,0,0.2,0.00,62,13.2,-1.36,18,20,18,13.2,1.36,18.3,10,0.0,0.0,NIGHT,DEACTIVATED,NONE
2026-08-24T04:05:00Z,0,0.2,0.00,62,13.2,-1.36,18,20,18,13.2,1.36,18.3,10,0.0,0.0,NIGHT,DEACTIVATED,NONE
2026-08-24T04:06:00Z,0,0.2,0.00,62,13.2,-1.36,18,20,18,13.2,1.36,18.3,10,0.0,0.0,NIGHT,DEACTIVATED,NONE
2026-08-24T04:07:00Z,0,0.2,0.00,62,13.2,-1.36,18,20,18,13.2,1.36,18.3,10,0.0,0.0,NIGHT,DEACTIVATED,NONE
2026-08-24T04:08:00Z,0,0.2,0.00,62,13.2,-1.36,18,20,18,13.2,1.36,18.2,10,0.0,0.0,NIGHT,DEACTIVATED,NONE
2026-08-24T04:09:00Z,0,0.2,0.00,62,13.2,-1.36,18,20,18,13.2,1.36,18.2,10,0.0,0.0,NIGHT,DEACTIVATED,NONE
2026-08-24T04:10:00Z,0,0.2,0.00,62,13.2,-1.36,18,20,18,13.2,1.36,18.2,10,0.0,0.0,NIGHT,DEACTIVATED,NONE
2026-08-24T04:11:00Z,0,0.2,0.00,62,13.2,-1.36,18,20,18,13.2,1.36,18.2,10,0.0,0.0,NIGHT,DEACTIVATED,NONE
2026-08-24T04:12:00Z,0,0.2,0.00,62,13.2,-1.36,18,20,18,13.2,1.36,18.1,10,0.0,0.0,NIGHT,DEACTIVATED,NONE
2026-08-24T04:13:00Z,0,0.2,0.00,62,13.2,-1.36,18,20,18,13.2,1.36,18.1,10,0.0,0.0,NIGHT,DEACTIVATED,NONE
2026-08-24T04:14:00Z,0,0.2,0.00,62,13.2,-1.36,18,20,18,13.2,1.36,18.1,10,0.0,0.0,NIGHT,DEACTIVATED,NONE
2026-08-24T04:15:00Z,0,0.2,0.00,62,13.2,-1.36,18,20,18,13.2,1.36,18.1,10,0.0,0.0,NIGHT,DEACTIVATED,NONE
2026-08-24T04:16:00Z,0,0.2,0.00,62,13.2,-1.36,18,20,18,13.2,1.36,18.0,10,0.0,0.0,NIGHT,DEACTIVATED,NONE
2026-08-24T04:17:00Z,0,0.2,0.00,62,13.2,-1.36,18,20,18,13.2,1.36,18.0,10,0.0,0.0,NIGHT,DEACTIVATED,NONE
2026-08-24T04:18:00Z,0,0.2,0.00,62,13.2,-1.36,18,20,18,13.2,1.36,18.0,10,0.0,0.0,NIGHT,DEACTIVATED,NONE
2026-08-24T04:19:00Z,0,0.2,0.00,62,13.2,-1.36,18,20,18,13.2,1.36,18.0,10,0.0,0.0,NIGHT,DEACTIVATED,NONE
2026-08-24T04:20:00Z,0,0.2,0.00,62,13.2,-1.36,18,20,18,13.2,1.36,17.9,10,0.0,0.0,NIGHT,DEACTIVATED,NONE
2026-08-24T04:21:00Z,0,0.2,0.00,62,13.2,-1.36,18,20,18,13.2,1.36,17.9,10,0.0,0.0,NIGHT,DEACTIVATED,NONE
2026-08-24T04:22:00Z,0,0.2,0.00,62,13.2,-1.36,18,20,18,13.2,1.36,17.9,10,0.0,0.0,NIGHT,DEACTIVATED,NONE
2026-08-24T04:23:00Z,0,0.2,0.00,62,13.2,-1.36,18,20,18,13.2,1.36,17.9,10,0.0,0.0,NIGHT,DEACTIVATED,NONE
2026-08-24T04:24:00Z,0,0.2,0.00,62,13.2,-1.36,18,20,18,13.2,1.36,17.8,10,0.0,0.0,NIGHT,DEACTIVATED,NONE
2026-08-24T04:25:00Z,0,0.2,0.00,62,13.2,-1.36,18,20,18,13.2,1.36,17.8,10,0.0,0.0,NIGHT,DEACTIVATED,NONE
2026-08-24T04:26:00Z,0,0.2,0.00,62,13.2,-1.36,18,20,18,13.2,1.36,17.8,10,0.0,0.0,NIGHT,DEACTIVATED,NONE
2026-08-24T04:27:00Z,0,0.2,0.00,62,13.2,-1.36,18,20,18,13.2,1.36,17.8,10,0.0,0.0,NIGHT,DEACTIVATED,NONE
2026-08-24T04:28:00Z,0,0.2,0.00,62,13.2,-1.36,18,20,18,13.2,1.36,17.8,10,0.0,0.0,NIGHT,DEACTIVATED,NONE
2026-08-24T04:29:00Z,0,0.2,0.00,62,13.2,-1.36,18,20,18,13.2,1.36,17.7,10,0.0,0.0,NIGHT,DEACTIVATED,NONE
2026-08-24T04:30:00Z,0,0.2,0.00,62,13.2,-1.36,18,20,18,13.2,1.36,17.7,10,0.0,0.0,NIGHT,DEACTIVATED,NONE
2026-08-24T04:31:00Z,0,0.2,0.00,62,13.2,-1.36,18,20,18,13.2,1.36,17.7,10,0.0,0.0,NIGHT,DEACTIVATED,NONE
2026-08-24T04:32:00Z,0,0.2,0.00,62,13.2,-1.36,18,20,18,13.2,1.36,17.7,10,0.0,0.0,NIGHT,DEACTIVATED,NONE
2026-08-24T04:33:00Z,0,0.2,0.00,62,13.2,-1.36,18,20,18,13.2,1.36,17.6,10,0.0,0.0,NIGHT,DEACTIVATED,NONE
2026-08-24T04:34:00Z,0,0.2,0.00,62,13.2,-1.36,18,20,18,13.2,1.36,17.6,10,0.0,0.0,NIGHT,DEACTIVATED,NONE
2026-08-24T04:35:00Z,0,0.2,0.00,62,13.2,-1.36,18,20,18,13.2,1.36,17.6,10,0.0,0.0,NIGHT,DEACTIVATED,NONE
2026-08-24T04:36:00Z,0,0.2,0.00,62,13.2,-1.36,18,20,18,13.2,1.36,17.6,10,0.0,0.0,NIGHT,DEACTIVATED,NONE
2026-08-24T04:37:00Z,0,0.2,0.00,62,13.2,-1.36,18,20,18,13.2,1.36,17.5,10,0.0,0.0,NIGHT,DEACTIVATED,NONE
2026-08-24T04:38:00Z,0,0.2,0.00,62,13.2,-1.36,18,20,18,13.2,1.36,17.5,10,0.0,0.0,NIGHT,DEACTIVATED,NONE
2026-08-24T04:39:00Z,0,0.2,0.00,62,13.2,-1.36,18,20,18,13.2,1.36,17.5,10,0.0,0.0,NIGHT,DEACTIVATED,NONE
2026-08-24T04:40:00Z,0,0.2,0.00,62,13.2,-1.36,18,20,18,13.2,1.36,17.5,10,0.0,0.0,NIGHT,DEACTIVATED,NONE
2026-08-24T04:41:00Z,0,0.2,0.00,62,13.2,-1.36,17,19,18,13.2,1.36,17.4,10,0.0,0.0,NIGHT,DEACTIVATED,NONE
2026-08-24T04:42:00Z,0,0.2,0.00,62,13.2,-1.36,17,19,18,13.2,1.36,17.4,10,0.0,0.0,NIGHT,DEACTIVATED,NONE
2026-08-24T04:43:00Z,0,0.2,0.00,62,13.2,-1.36,17,19,18,13.2,1.36,17.4,10,0.0,0.0,NIGHT,DEACTIVATED,NONE
2026-08-24T04:44:00Z,0,0.2,0.00,62,13.2,-1.36,17,19,18,13.2,1.36,17.4,10,0.0,0.0,NIGHT,DEACTIVATED,NONE
2026-08-24T04:45:00Z,0,0.2,0.00,62,13.2,-1.36,17,19,18,13.2,1.36,17.3,10,0.0,0.0,NIGHT,DEACTIVATED,NONE
2026-08-24T04:46:00Z,0,0.2,0.00,62,13.2,-1.36,17,19,18,13.2,1.36,17.3,10,0.0,0.0,NIGHT,DEACTIVATED,NONE
2026-08-24T04:47:00Z,0,0.2,0.00,62,13.2,-1.36,17,19,18,13.2,1.36,17.3,10,0.0,0.0,NIGHT,DEACTIVATED,NONE
2026-08-24T04:48:00Z,0,0.2,0.00,62,13.2,-1.36,17,19,18,13.2,1.36,17.3,10,0.0,0.0,NIGHT,DEACTIVATED,NONE
2026-08-24T04:49:00Z,0,0.2,0.00,62,13.2,-1.36,17,19,18,13.2,1.36,17.3,10,0.0,0.0,NIGHT,DEACTIVATED,NONE
2026-08-24T04:50:00Z,0,0.2,0.00,62,13.2,-1.36,17,19,18,13.2,1.36,17.2,10,0.0,0.0,NIGHT,DEACTIVATED,NONE
2026-08-24T04:51:00Z,0,0.2,0.00,62,13.2,-1.36,17,19,18,13.2,1.36,17.2,10,0.0,0.0,NIGHT,DEACTIVATED,NONE
2026-08-24T04:52:00Z,0,0.2,0.00,62,13.2,-1.36,17,19,18,13.2,1.36,17.2,10,0.0,0.0,NIGHT,DEACTIVATED,NONE
2026-08-24T04:53:00Z,0,0.2,0.00,62,13.2,-1.36,17,19,18,13.2,1.36,17.2,10,0.0,0.0,NIGHT,DEACTIVATED,NONE
2026-08-24T04:54:00Z,0,0.2,0.00,62,13.2,-1.36,17,19,18,13.2,1.36,17.1,10,0.0,0.0,NIGHT,DEACTIVATED,NONE
2026-08-24T04:55:00Z,0,0.2,0.00,62,13.2,-1.36,17,19,18,13.2,1.36,17.1,10,0.0,0.0,NIGHT,DEACTIVATED,NONE
2026-08-24T04:56:00Z,0,0.2,0.00,62,13.2,-1.36,17,19,18,13.2,1.36,17.1,10,0.0,0.0,NIGHT,DEACTIVATED,NONE
